Id,CurrencyId,AsAt,Rate,CreateDate
10447,840,06/01/2020,1.03,22/12/2022 11:37
10448,858,06/01/2020,38.3087,22/12/2022 11:37
10449,704,06/01/2020,23888.415,22/12/2022 11:37
10450,710,06/01/2020,14.6772,22/12/2022 11:37
10451,784,07/01/2020,3.7855,22/12/2022 11:37
10452,32,07/01/2020,61.6248,22/12/2022 11:37
10453,36,07/01/2020,1.4905,22/12/2022 11:37
10454,975,07/01/2020,1.8041,22/12/2022 11:37
10455,986,07/01/2020,4.186,22/12/2022 11:37
10456,124,07/01/2020,1.3384,22/12/2022 11:37
10457,756,07/01/2020,1,22/12/2022 11:37
10458,152,07/01/2020,786.7591,22/12/2022 11:37
10459,156,07/01/2020,7.1763,22/12/2022 11:37
10460,170,07/01/2020,3357.5061,22/12/2022 11:37
10461,203,07/01/2020,23.3254,22/12/2022 11:37
10462,208,07/01/2020,6.8928,22/12/2022 11:37
10463,214,07/01/2020,54.4577,22/12/2022 11:37
10464,818,07/01/2020,16.5262,22/12/2022 11:37
10465,978,07/01/2020,0.9226,22/12/2022 11:37
10466,826,07/01/2020,0.7853,22/12/2022 11:37
10467,320,07/01/2020,7.9456,22/12/2022 11:37
10468,344,07/01/2020,8.0136,22/12/2022 11:37
10469,191,07/01/2020,6.8686,22/12/2022 11:37
10470,348,07/01/2020,304.5034,22/12/2022 11:38
10471,360,07/01/2020,14352.8425,22/12/2022 11:38
10472,376,07/01/2020,3.5799,22/12/2022 11:38
10473,356,07/01/2020,74.0754,22/12/2022 11:38
10474,352,07/01/2020,126.5249,22/12/2022 11:38
10475,392,07/01/2020,111.581,22/12/2022 11:38
10476,410,07/01/2020,1203.4512,22/12/2022 11:38
10477,398,07/01/2020,393.4364,22/12/2022 11:38
10478,484,07/01/2020,19.4672,22/12/2022 11:38
10479,458,07/01/2020,4.2266,22/12/2022 11:38
10480,578,07/01/2020,9.0889,22/12/2022 11:38
10481,554,07/01/2020,1.5488,22/12/2022 11:38
10482,590,07/01/2020,1.0309,22/12/2022 11:38
10483,604,07/01/2020,3.4222,22/12/2022 11:38
10484,608,07/01/2020,52.581,22/12/2022 11:38
10485,586,07/01/2020,159.3564,22/12/2022 11:38
10486,985,07/01/2020,3.9128,22/12/2022 11:38
10487,600,07/01/2020,6573.3578,22/12/2022 11:38
10488,946,07/01/2020,4.4047,22/12/2022 11:38
